MergedCellType	cell_type	data_source	feature_DHS	feature_ATAC	feature_H3K27ac	default_accessibility_feature	hic_cell_type	RNA_tpm_file	genome	ABCPredictionsForGWAS	nEnhancers	ABCEnhancers	Neighborhoods	Predictions	bedpe
A549 treated with ethanol 0.02 percent for 1 hour	A549_treated_with_ethanol_0.02_percent_for_1_hour-Roadmap	Roadmap	/oak/stanford/groups/engreitz/ABC_inputs/A549_treated_with_ethanol_0.02_percent_for_1_hour-Roadmap/E114-DNase.tagAlign.gz	/oak/stanford/groups/engreitz/ABC_inputs/A549_treated_with_ethanol_0.02_percent_for_1_hour-Roadmap/	/oak/stanford/groups/engreitz/ABC_inputs/A549_treated_with_ethanol_0.02_percent_for_1_hour-Roadmap/E114-H3K27ac.tagAlign.gz	DHS	average	/seq/lincRNA/RAP/Promoters/170721_ModelDataCuration/RNAseq/ENCFF452CIQ.TPM.txt,/seq/lincRNA/RAP/Promoters/170721_ModelDataCuration/RNAseq/ENCFF133PXI.TPM.txt	hg19	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/A549_treated_with_ethanol_0.02_percent_for_1_hour-Roadmap/Predictions_AvgHiC/EnhancerPredictionsFull.txt	NA	NA	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/A549_treated_with_ethanol_0.02_percent_for_1_hour-Roadmap/Neighborhoods/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/A549_treated_with_ethanol_0.02_percent_for_1_hour-Roadmap/Predictions_AvgHiC/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/A549_treated_with_ethanol_0.02_percent_for_1_hour-Roadmap/Predictions_AvgHiC//EnhancerPredictions.bedpe
A673	A673-ENCODE	ENCODE	/oak/stanford/groups/engreitz/ABC_inputs/A673-ENCODE/ENCFF099KHR.tagAlign.gz,/oak/stanford/groups/engreitz/ABC_inputs/A673-ENCODE/ENCFF141VBO.tagAlign.gz	/oak/stanford/groups/engreitz/ABC_inputs/A673-ENCODE/	/oak/stanford/groups/engreitz/ABC_inputs/A673-ENCODE/ENCFF040NGJ.tagAlign.gz,/oak/stanford/groups/engreitz/ABC_inputs/A673-ENCODE/ENCFF416TYB.tagAlign.gz	DHS	average	NA	hg19	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/A673-ENCODE/Predictions_AvgHiC/EnhancerPredictionsFull.txt	NA	NA	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/A673-ENCODE/Neighborhoods/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/A673-ENCODE/Predictions_AvgHiC/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/A673-ENCODE/Predictions_AvgHiC//EnhancerPredictions.bedpe
adipose tissue	adipose_tissue-ENCODE	ENCODE		/oak/stanford/groups/engreitz/ABC_inputs/adipose_tissue-ENCODE/AdiposeSubcut-ENCFF987RZW.sorted.unique_alignment.bam	/oak/stanford/groups/engreitz/ABC_inputs/adipose_tissue-ENCODE/ENCFF665GXM.tagAlign.gz	ATAC	average	/seq/lincRNA/RAP/Promoters/170721_ModelDataCuration/RNAseq/ENCFF457MGB.TPM.txt,/seq/lincRNA/RAP/Promoters/170721_ModelDataCuration/RNAseq/ENCFF093YEJ.TPM.txt	hg19	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/adipose_tissue-ENCODE/Predictions_AvgHiC/EnhancerPredictionsFull.txt	NA	NA	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/adipose_tissue-ENCODE/Neighborhoods/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/adipose_tissue-ENCODE/Predictions_AvgHiC/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/adipose_tissue-ENCODE/Predictions_AvgHiC//EnhancerPredictions.bedpe
adrenal gland	adrenal_gland-ENCODE	ENCODE		/oak/stanford/groups/engreitz/ABC_inputs/adrenal_gland-ENCODE/AdrenalGland-ENCFF085AWY.sorted.unique_alignment.bam,/oak/stanford/groups/engreitz/ABC_inputs/adrenal_gland-ENCODE/AdrenalGland-ENCFF228CZJ.sorted.unique_alignment.bam,/oak/stanford/groups/engreitz/ABC_inputs/adrenal_gland-ENCODE/AdrenalGland-ENCFF457QZC.sorted.unique_alignment.bam,/oak/stanford/groups/engreitz/ABC_inputs/adrenal_gland-ENCODE/AdrenalGland-ENCFF547CYZ.sorted.unique_alignment.bam,/oak/stanford/groups/engreitz/ABC_inputs/adrenal_gland-ENCODE/AdrenalGland-ENCFF927OCA.sorted.unique_alignment.bam	/oak/stanford/groups/engreitz/ABC_inputs/adrenal_gland-ENCODE/ENCFF062XGN.tagAlign.gz,/oak/stanford/groups/engreitz/ABC_inputs/adrenal_gland-ENCODE/ENCFF070MRW.tagAlign.gz,/oak/stanford/groups/engreitz/ABC_inputs/adrenal_gland-ENCODE/ENCFF150HRE.tagAlign.gz,/oak/stanford/groups/engreitz/ABC_inputs/adrenal_gland-ENCODE/ENCFF521ZHZ.tagAlign.gz,/oak/stanford/groups/engreitz/ABC_inputs/adrenal_gland-ENCODE/ENCFF718RYE.tagAlign.gz,/oak/stanford/groups/engreitz/ABC_inputs/adrenal_gland-ENCODE/ENCFF916YRN.tagAlign.gz	ATAC	average	/seq/lincRNA/RAP/Promoters/170721_ModelDataCuration/RNAseq/ENCFF563ARJ.TPM.txt,/seq/lincRNA/RAP/Promoters/170721_ModelDataCuration/RNAseq/ENCFF617FGG.TPM.txt	hg19	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/adrenal_gland-ENCODE/Predictions_AvgHiC/EnhancerPredictionsFull.txt	NA	NA	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/adrenal_gland-ENCODE/Neighborhoods/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/adrenal_gland-ENCODE/Predictions_AvgHiC/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/adrenal_gland-ENCODE/Predictions_AvgHiC//EnhancerPredictions.bedpe
adrenal gland fetal	adrenal_gland_fetal-ENCODE	ENCODE	/oak/stanford/groups/engreitz/ABC_inputs/adrenal_gland_fetal-ENCODE/ENCFF081IUN.tagAlign.gz,/oak/stanford/groups/engreitz/ABC_inputs/adrenal_gland_fetal-ENCODE/ENCFF751YMW.tagAlign.gz	/oak/stanford/groups/engreitz/ABC_inputs/adrenal_gland_fetal-ENCODE/	/oak/stanford/groups/engreitz/ABC_inputs/adrenal_gland_fetal-ENCODE/ENCFF639QXV.tagAlign.gz	DHS	average	/seq/lincRNA/RAP/Promoters/170721_ModelDataCuration/RNAseq/ENCFF360VEX.TPM.txt,/seq/lincRNA/RAP/Promoters/170721_ModelDataCuration/RNAseq/ENCFF287EPP.TPM.txt,/seq/lincRNA/RAP/Promoters/170721_ModelDataCuration/RNAseq/ENCFF572USS.TPM.txt,/seq/lincRNA/RAP/Promoters/170721_ModelDataCuration/RNAseq/ENCFF578WOY.TPM.txt,/seq/lincRNA/RAP/Promoters/170721_ModelDataCuration/RNAseq/ENCFF346GMY.TPM.txt	hg19	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/adrenal_gland_fetal-ENCODE/Predictions_AvgHiC/EnhancerPredictionsFull.txt	NA	NA	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/adrenal_gland_fetal-ENCODE/Neighborhoods/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/adrenal_gland_fetal-ENCODE/Predictions_AvgHiC/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/adrenal_gland_fetal-ENCODE/Predictions_AvgHiC//EnhancerPredictions.bedpe
astrocyte	astrocyte-ENCODE	ENCODE	/oak/stanford/groups/engreitz/ABC_inputs/astrocyte-ENCODE/ENCFF290GEZ.tagAlign.gz,/oak/stanford/groups/engreitz/ABC_inputs/astrocyte-ENCODE/ENCFF873KCZ.tagAlign.gz	/oak/stanford/groups/engreitz/ABC_inputs/astrocyte-ENCODE/	/oak/stanford/groups/engreitz/ABC_inputs/astrocyte-ENCODE/ENCFF100JEN.tagAlign.gz,/oak/stanford/groups/engreitz/ABC_inputs/astrocyte-ENCODE/ENCFF384LZD.tagAlign.gz	DHS	average	NA	hg19	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/astrocyte-ENCODE/Predictions_AvgHiC/EnhancerPredictionsFull.txt	NA	NA	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/astrocyte-ENCODE/Neighborhoods/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/astrocyte-ENCODE/Predictions_AvgHiC/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/astrocyte-ENCODE/Predictions_AvgHiC//EnhancerPredictions.bedpe
B cell	B_cell-ENCODE	ENCODE-Corces16	/oak/stanford/groups/engreitz/ABC_inputs/B_cell-ENCODE/ENCFF158VQA.tagAlign.gz	/oak/stanford/groups/engreitz/ABC_inputs/B_cell-ENCODE/Bcell-13.merge.bam	/oak/stanford/groups/engreitz/ABC_inputs/B_cell-ENCODE/ENCFF265ODN.tagAlign.gz,/oak/stanford/groups/engreitz/ABC_inputs/B_cell-ENCODE/ENCFF790MCM.tagAlign.gz,/oak/stanford/groups/engreitz/ABC_inputs/B_cell-ENCODE/ENCFF895XUG.tagAlign.gz	DHS	tB	/seq/lincRNA/RAP/External/Corces2016-ATAC/RNAseq/Bcell.TPM.txt,/seq/lincRNA/RAP/Promoters/170721_ModelDataCuration/RNAseq/ENCFF195UAA.TPM.txt,/seq/lincRNA/RAP/Promoters/170721_ModelDataCuration/RNAseq/ENCFF049GRB.TPM.txt,/seq/lincRNA/RAP/Promoters/170721_ModelDataCuration/RNAseq/ENCFF422SXS.TPM.txt	hg19	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/B_cell-ENCODE/Predictions_AvgHiC/EnhancerPredictionsFull.txt	NA	NA	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/B_cell-ENCODE/Neighborhoods/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/B_cell-ENCODE/Predictions_AvgHiC/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/B_cell-ENCODE/Predictions_AvgHiC//EnhancerPredictions.bedpe
bipolar neuron from iPSC	bipolar_neuron_from_iPSC-ENCODE	ENCODE	/oak/stanford/groups/engreitz/ABC_inputs/bipolar_neuron_from_iPSC-ENCODE/ENCFF110MYU.tagAlign.gz,/oak/stanford/groups/engreitz/ABC_inputs/bipolar_neuron_from_iPSC-ENCODE/ENCFF309OSI.tagAlign.gz	/oak/stanford/groups/engreitz/ABC_inputs/bipolar_neuron_from_iPSC-ENCODE/	/oak/stanford/groups/engreitz/ABC_inputs/bipolar_neuron_from_iPSC-ENCODE/ENCFF492XPT.tagAlign.gz,/oak/stanford/groups/engreitz/ABC_inputs/bipolar_neuron_from_iPSC-ENCODE/ENCFF940AWR.tagAlign.gz	DHS	average	NA	hg19	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/bipolar_neuron_from_iPSC-ENCODE/Predictions_AvgHiC/EnhancerPredictionsFull.txt	NA	NA	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/bipolar_neuron_from_iPSC-ENCODE/Neighborhoods/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/bipolar_neuron_from_iPSC-ENCODE/Predictions_AvgHiC/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/bipolar_neuron_from_iPSC-ENCODE/Predictions_AvgHiC//EnhancerPredictions.bedpe
BJAB	BJAB-Engreitz	ThisStudy		/oak/stanford/groups/engreitz/ABC_inputs/BJAB-Engreitz/BJAB_ctrl_1-Tag-30.sorted.unique_alignment.bam,/oak/stanford/groups/engreitz/ABC_inputs/BJAB-Engreitz/BJAB_ctrl_2-Tag-30.sorted.unique_alignment.bam	/oak/stanford/groups/engreitz/ABC_inputs/BJAB-Engreitz/BJAB-ctrl-1.sorted.unique_alignment.bam,/oak/stanford/groups/engreitz/ABC_inputs/BJAB-Engreitz/BJAB-ctrl-2.sorted.unique_alignment.bam	ATAC	BJAB	/seq/lincRNA/RAP/KO-RNASeq/170721_ImmuneRNASeq//aligned/S13-BJAB_ctrl1/symbol.tpm.txt,/seq/lincRNA/RAP/KO-RNASeq/170721_ImmuneRNASeq//aligned/S14-BJAB_ctrl2/symbol.tpm.txt	hg19	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/BJAB-Engreitz/Predictions_AvgHiC/EnhancerPredictionsFull.txt	NA	NA	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/BJAB-Engreitz/Neighborhoods/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/BJAB-Engreitz/Predictions_AvgHiC/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/BJAB-Engreitz/Predictions_AvgHiC//EnhancerPredictions.bedpe
BJAB anti-IgM anti-CD40 4hr	BJAB_anti-IgM_anti-CD40_4hr-Engreitz	ThisStudy		/oak/stanford/groups/engreitz/ABC_inputs/BJAB_anti-IgM_anti-CD40_4hr-Engreitz/BJAB_stim_1-Tag-30.sorted.unique_alignment.bam,/oak/stanford/groups/engreitz/ABC_inputs/BJAB_anti-IgM_anti-CD40_4hr-Engreitz/BJAB_stim_2-Tag-30.sorted.unique_alignment.bam	/oak/stanford/groups/engreitz/ABC_inputs/BJAB_anti-IgM_anti-CD40_4hr-Engreitz/BJAB-stim-1.sorted.unique_alignment.bam,/oak/stanford/groups/engreitz/ABC_inputs/BJAB_anti-IgM_anti-CD40_4hr-Engreitz/BJAB-stim-2.sorted.unique_alignment.bam	ATAC	BJAB	/seq/lincRNA/RAP/KO-RNASeq/170721_ImmuneRNASeq//aligned/S15-BJAB_stim1/symbol.tpm.txt,/seq/lincRNA/RAP/KO-RNASeq/170721_ImmuneRNASeq//aligned/S16-BJAB_stim2/symbol.tpm.txt	hg19	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/BJAB_anti-IgM_anti-CD40_4hr-Engreitz/Predictions_AvgHiC/EnhancerPredictionsFull.txt	NA	NA	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/BJAB_anti-IgM_anti-CD40_4hr-Engreitz/Neighborhoods/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/BJAB_anti-IgM_anti-CD40_4hr-Engreitz/Predictions_AvgHiC/	/oak/stanford/groups/engreitz/Projects/ABC/191216_ABC/ABC_out/BJAB_anti-IgM_anti-CD40_4hr-Engreitz/Predictions_AvgHiC//EnhancerPredictions.bedpe
